Sample	Queue Length	Avg Waiting Time
1073	48		110.92998239984718
2122	61		117.42118751770431
3130	67		160.99828849610094
4096	20		40.03796987237729
5109	26		60.27116799023315
6096	9		33.07587031603907
7111	17		22.30200282079568
8155	43		77.8193636858814
9193	27		49.88995951200559
10231	40		58.35698939770009
11286	54		113.95516256486371
12383	136		219.858431110144
13424	159		299.51319678193977
14460	186		380.8504375235061
15491	161		267.94197963645274
16454	123		245.43228631395687
17524	166		336.70669553792686
18538	159		293.971711987404
19537	117		248.77195628489426
20527	86		187.25957429531263
21536	82		153.86908996244892
22588	91		203.81715327889106
23588	58		134.64418270168972
24558	19		30.66561962156993
25652	71		120.01592374850588
26645	59		119.31157471635379
27718	87		140.87541685379256
28780	124		256.36900215080095
29780	118		231.15600782586262
30852	174		407.4705990480361
31851	144		309.98307691876835
32946	196		425.39941016405646
33992	199		425.45671636737825
35021	201		446.9799051357404
36026	190		374.9116456786869
36999	134		289.83694988136995
38027	128		284.8989597914915
38999	78		141.61871244452777
40002	62		118.40481938558514
41054	69		129.9289102294715
42071	73		129.56294353009434
43204	171		326.47041352691303
44242	201		440.60191722834134
45310	232		448.4549887615285
46352	236		503.40102119755466
47438	309		593.3227731955558
48459	321		672.8192609186517
49464	292		593.7005701569433
50408	226		518.2642743733159
51401	198		402.13984461990185
52409	189		385.8317030764738
53424	177		319.70740377594484
54584	297		574.3506576086802
55552	249		484.7389027226891
56540	227		447.1380248197529
57590	224		469.8377248484758
58595	209		387.41122003454075
59670	281		532.6679348151229
60682	289		549.316386328006
61637	231		447.4430567217205
62648	207		357.2079583439627
63676	193		389.9273200897587
64728	236		440.17467126720294
65833	314		579.46016788618
66844	307		663.820073596522
67845	279		526.6678842663823
68876	273		552.4701060869847
69875	266		552.149409375008
70956	336		617.0191368515952
71909	278		524.8508662108507
72979	333		649.8870063635404
73923	233		539.9732492240437
74950	243		433.63619438174646
75925	216		432.49236217403086
76948	231		422.0657826147217
78019	250		543.7054755453137
79103	295		593.5116643233632
80136	319		613.3262857776717
81117	261		501.10076477853
82239	345		667.0508332835161
83343	434		826.462162592914
84369	423		893.3889408676769
85387	421		882.360654828808
86446	422		830.1496139839874
87493	421		806.0789507909794
88396	310		695.6064264554589
89473	358		702.3752552905935
90572	433		810.7087465891382
91583	433		817.7564066610939
92613	430		906.8948653039115
93617	380		800.5332859854389
94632	358		726.8059964488202
95672	375		747.6118570475664
96667	365		720.785954701656
97702	367		695.491785587481
98800	418		828.9894724978658
99858	469		879.483063666732
100915	489		963.6825902491692
101946	475		1014.7162960374262
102921	428		855.8461701074266
104023	510		1061.8201064634195
104971	438		940.5840686087613
106005	430		854.3381815398461
107122	542		977.0777151371585
108113	516		1019.4223293956893
109157	508		1041.9369155305612
110138	481		931.8026224828791
111125	466		961.1593248150311
112119	427		860.0141471092647
113105	398		744.7241681955347
114116	369		734.6590349256876
115145	350		732.5707552952226
116168	339		657.3405897676712
117234	369		725.8286729710235
118172	294		568.8927108409116
119235	339		590.6485456082155
120263	315		640.5899855730531
121284	313		649.0294910422526
122307	326		614.9063681853586
123319	302		590.998633676325
124377	318		668.8514318127418
125406	314		604.4065216515446
126435	303		540.7419959110557
