Sample	Queue Length	Avg Waiting Time
1018	6		11.370224868075638
2101	55		121.23203544690568
3109	59		129.98536619745119
4155	104		188.65381147486278
5226	162		322.5738207863578
6251	173		366.43755383568714
7297	188		360.5901509456435
8371	241		452.01119124754587
9375	205		404.9500920505816
10337	146		282.3293247579786
11373	146		280.47841945750406
12419	150		299.75781107672447
13430	142		323.7981289055824
14466	169		326.61126602271906
15531	194		420.40071600500596
16546	195		414.4756661425272
17575	203		416.9694287655584
18660	256		522.5483784425596
19744	321		614.3104169594008
20785	353		689.9330283241943
21871	404		763.8234367231853
22885	372		734.8177088511293
23943	390		785.3505474318154
24960	354		677.1381241462877
25908	286		554.2625576911378
26928	289		564.3340660111498
27894	240		480.715647824647
28949	277		516.1662612192085
29998	281		552.1157720146148
31054	282		571.1164966873839
32009	202		440.44279181212914
33015	188		363.17756084403663
34091	239		476.24389449163573
35149	280		529.0918615432311
36129	256		518.6129964568827
37209	285		566.1673744836735
38252	302		630.5086470907845
39314	352		658.8461589543731
40389	408		799.817295240151
41352	351		744.9358714794653
42378	324		636.6743850135535
43460	391		757.2754512691463
44553	436		858.5883067095565
45750	601		1090.3349002836476
46812	618		1213.6406243462698
47867	643		1226.7017220589041
48892	641		1311.6743223973172
49879	623		1301.240046163599
50897	633		1310.3573152016615
51857	564		1156.9009613684611
52912	594		1184.6438086369599
53957	626		1244.0862011162535
55009	653		1329.9416512846074
56047	647		1315.0688100349944
57042	626		1292.0913055277051
58055	614		1274.1974619371613
59064	621		1223.5460684015852
59997	554		1113.6058593861962
61036	577		1116.5096836349549
62044	552		1095.339546200339
63054	555		1070.3956486258394
64132	597		1145.4172350390581
65135	581		1107.5766415782127
66165	590		1199.581877798395
67292	681		1376.7704183864698
68258	609		1247.4783049158577
69259	564		1143.2694632158673
70325	595		1161.637550842046
71297	516		1051.8786944114836
72375	571		1115.7870417243394
73341	516		1034.1893176232115
74457	615		1144.4680410588626
75520	632		1229.082256278518
76595	691		1355.002707353211
77548	642		1252.500626391091
78604	672		1359.938710159884
79635	666		1323.4592915272806
80696	712		1426.5857517180266
81687	693		1419.0081732762628
82631	624		1332.8435572939052
83645	598		1224.737718086195
84663	577		1137.726756418182
85608	522		1029.4528603742947
86633	539		1002.4741824215744
87627	489		1064.0258025956864
88651	472		984.0872330355633
89705	514		1024.1149409842328
90804	579		1181.9248996513197
91848	577		1106.8609428151976
92950	637		1184.0941034552816
93928	610		1239.307041068183
94950	597		1111.5444198687037
95944	542		1090.4686285969801
96883	478		1034.0547367260442
97866	406		903.7719618805568
98910	397		810.3130679982714
99962	416		781.2526262177562
101016	441		866.1665714069386
102091	462		910.6710227658623
103102	448		971.1148765050748
104173	512		1047.3979800254747
105256	595		1210.7314465219679
106247	558		1160.2407932086207
107273	561		1130.7276933626272
108325	562		1201.5430652317882
109409	646		1166.6534466092126
110376	564		1178.5940105498594
111394	559		1125.0877195890644
112402	522		1033.8422056442942
113499	595		1146.1116845595825
114555	643		1319.067892344261
115573	622		1270.891055923974
116692	687		1345.5456224528898
117670	659		1305.2303803509858
118787	728		1430.2820387110696
119785	682		1381.0052812525537
120865	723		1412.6095161655685
121860	684		1364.2223957129172
122919	737		1358.404556707712
123982	776		1573.991103794251
125047	831		1663.9317583970842
126066	815		1667.2371341218532
127094	841		1723.4069400709704
128110	826		1655.504123053921
129135	820		1704.841147657804
130133	797		1631.9197545147908
131237	861		1655.312401125353
132254	847		1724.6150038230116
133296	884		1783.4022168816882
134309	896		1840.6895425516414
135301	872		1855.830183168233
136314	869		1785.6678448896273
137318	824		1716.2491432880634
138394	874		1723.7112182232668
139436	912		1804.0500368608627
140421	860		1725.0798032928724
141475	892		1807.737772579887
142491	901		1779.4800504735904
143509	882		1719.6027086607064
144525	866		1764.7615235017147
145572	907		1806.0710609983653
146622	928		1867.87876436871
147614	920		1840.1215318257455
148584	855		1762.6154052204802
149591	822		1628.729251918965
150593	819		1690.0784370163456
151659	865		1716.22559470142
152692	890		1698.2289901077747
153692	877		1773.3419827982434
154737	875		1772.7817441757652
155795	902		1708.2498273949604
156819	923		1802.3302599134622
157780	871		1803.9830472380272
158795	844		1664.5409555598744
159817	840		1636.0727343733888
160798	797		1600.8325483090593
161778	774		1585.8325812122785
162760	755		1532.3535098601133
163780	764		1565.5514269960113
164787	734		1515.6010922399
165782	724		1410.3663684893982
166844	775		1507.9369248710573
167818	705		1440.0253780278726
168786	667		1345.33532130596
169768	649		1277.9352302135085
170835	713		1409.1738324526232
171961	818		1544.7134310065885
172943	779		1583.4967584618134
173984	808		1507.7424585392
175039	859		1716.8085951034445
176063	846		1745.7020842388156
177151	897		1747.5493811950437
178203	915		1826.5540008557145
179231	931		1926.542497563234
180292	974		1924.7450504235458
181345	1002		1997.5406578234397
182382	1018		2048.0026782885543
183475	1083		2180.8337401722674
184534	1121		2135.483540377987
185543	1118		2301.8012051086407
186693	1235		2336.605312440719
187767	1277		2525.887412048294
188731	1233		2498.462770969025
189739	1226		2464.8633409311296
190749	1226		2458.5930799787748
191753	1197		2400.386262996297
192723	1156		2369.690309176047
193775	1157		2440.228071638907
194767	1113		2306.172238225001
195729	1075		2246.6265243139933
196779	1114		2154.2695484071155
197862	1152		2203.4000894356286
198828	1073		2223.7948922906653
199773	1014		2035.9893989851116
200848	1069		2090.253629139799
201923	1088		2125.8823044868186
203006	1128		2191.5438621300855
204014	1103		2297.144178210583
205007	1056		2119.361618822557
206057	1092		2192.140808356693
207078	1100		2196.0905655996175
208041	1009		2074.8422097670846
209124	1039		2002.7437671545194
210175	1063		2142.356127786974
211223	1095		2079.347280369897
212174	1043		2047.7916285374667
213201	1061		2055.0879529630765
214287	1138		2206.939593911695
215328	1174		2262.3385649352567
216363	1198		2317.866950627824
217458	1249		2403.2514806013205
218537	1311		2568.19885073544
219580	1336		2682.5770891490392
220572	1286		2611.650537948357
221604	1291		2528.669269557169
222640	1297		2603.9395729773096
223652	1275		2659.2060721405433
224681	1302		2629.6333266200963
225615	1234		2651.371454334643
226664	1227		2484.7510654779035
227750	1260		2515.806397893466
228765	1236		2554.6893516576383
229854	1309		2491.488448757562
230769	1196		2537.648991274298
231776	1175		2473.9924701236887
232920	1293		2535.86942230328
233925	1252		2453.896763239056
234889	1201		2506.973252081021
235995	1300		2463.0120685217553
237034	1310		2520.486293715716
238108	1352		2669.1031258715666
239088	1308		2611.682350565796
240160	1361		2649.882596339972
241179	1366		2789.0235758544295
242219	1396		2801.7191495984443
243298	1447		2817.592881567136
244396	1511		3023.60605908063
245397	1484		3112.027796202514
246447	1504		3094.656160252809
247396	1420		2948.528213447309
248403	1406		2800.2393306907034
249416	1406		2768.2053181100637
250405	1365		2780.0606139589217
251448	1381		2798.929626514029
252426	1355		2781.618076275103
253446	1360		2771.60967689089
254437	1330		2751.163672967523
255414	1296		2655.4179583176738
256406	1286		2584.486777656828
257355	1222		2563.807041589287
258409	1259		2435.8143137354637
259432	1245		2508.401669359242
260497	1284		2515.0010161515092
261498	1253		2468.5350426599034
262607	1333		2557.997820521239
263674	1355		2630.844648201135
264620	1300		2550.7758455883013
265601	1280		2602.6606657638913
266711	1371		2647.843301514513
267650	1310		2554.8421560635325
268640	1261		2630.396593036363
269662	1254		2612.194509976427
270599	1130		2420.7941450478975
271560	1069		2200.099050899269
272470	974		2044.366295685526
273502	984		1992.352267293958
274512	967		1996.372201695107
275489	935		1927.8598702348536
276511	921		1932.185790943331
277576	928		1806.643866015249
278610	921		1880.0684778799769
279649	919		1784.615242763306
280706	963		1812.8465576639865
281765	979		1967.932278354303
282731	934		1820.009633682901
283751	910		1872.7241363266949
284861	979		1963.004070515628
285863	940		1976.1895095037762
286901	967		1833.8269878344145
287910	963		1911.9513630534057
288971	1002		1974.4553294235375
289959	971		1968.6607955651125
290953	914		1925.8105118711246
292036	984		1890.3254389038775
293123	1021		1965.9488543156767
294129	994		1970.9196197255515
295051	873		1867.5994924253318
296070	884		1751.54698408267
297059	871		1731.3429351231316
298041	844		1729.4466178027214
299035	838		1682.0695096401032
300039	824		1631.0121217947453
301032	758		1494.0160033322172
301958	668		1456.6176518009743
302992	651		1276.629179823096
304009	638		1268.3076631360454
305040	625		1216.6834083948052
306015	592		1245.7165954334196
307027	586		1203.7280895229196
308027	563		1210.181604515994
309105	608		1244.3460937140044
310096	578		1183.9478046594886
311138	603		1107.2377732832683
312190	640		1210.5777812602464
313199	618		1270.8795030834153
314148	562		1114.25429532805
315243	623		1229.7403545805719
316335	679		1396.2430494885193
317279	618		1284.5168582575861
318312	630		1249.8381763530197
319276	565		1161.7731375837466
320245	523		1117.168957390706
321265	499		995.8918900412973
322237	470		917.3571184104076
323291	476		971.1742446551798
324266	443		880.9277021884918
325319	438		895.5969689849298
326393	486		917.0073935637483
327430	518		1005.3019172862405
328350	428		843.6173034663079
329348	401		763.0495963337598
330396	428		831.178717807401
331434	452		826.125273456797
332414	412		795.8675102416892
333441	417		862.4891823605867
334420	351		730.458877831581
335478	404		802.2826813926222
336475	375		773.6605689172866
337466	321		653.0173154094955
338512	355		697.842375237029
339528	333		646.4165745115606
340587	352		722.9944109782809
341618	367		732.9323173535522
342592	335		728.4054594452027
343636	370		783.1417260741582
344673	387		726.4438663452165
345670	377		736.4942607869161
346624	324		670.3729174634209
347742	394		814.7369122783421
348800	401		770.4349123057909
349900	491		932.2397448326228
350989	550		1178.9823577204952
352030	571		1109.3402538020164
353081	598		1146.2272138232365
354055	538		1092.0648483224213
355046	497		987.8252642527223
356001	451		925.5975523827365
357039	470		955.9022664934164
357969	369		826.8130904686404
358965	340		689.9943162827985
360059	417		800.0285332455533
361107	463		884.6689494218444
362106	433		945.6408846655395
363155	462		832.103602462681
364177	441		920.7318573771045
365243	469		907.6134298084071
366321	529		1051.3920294319978
367374	553		1139.906534739188
368338	486		1003.8973031275673
369393	500		941.8750566737726
370467	522		976.9427710360615
371487	480		980.1755337187788
372567	526		1069.3317729631672
373606	550		972.3201519779395
374602	532		1132.1903370881919
375577	477		977.8709191443631
376576	420		836.6475547594018
377616	415		865.6674886744004
378589	374		782.8856118336553
379608	388		816.573229667847
380665	412		766.9488323031692
381651	371		766.4817080077482
382720	413		735.1599411047064
383841	496		975.7534494035644
384874	495		1014.3996736172121
385928	539		1036.835043179337
386822	433		848.8853361014044
387857	456		854.3577015110059
388875	472		962.9425143101253
389825	412		815.5173184098676
390879	414		881.2970289640361
391873	383		831.8455234686844
392990	485		943.2886987893144
394026	500		978.1997057783883
395092	548		1087.1118204387603
396080	519		1096.8972021820955
397079	494		950.9934169258922
398128	520		978.1907991884509
399135	504		1027.7957893308485
400150	515		988.8769731582142
401162	510		1010.9401572373463
402292	613		1197.8498497774126
403325	638		1281.63730043557
404333	629		1213.5963972865138
405369	635		1298.480793200666
406409	636		1310.4884464843199
407442	659		1293.3803802224575
408418	635		1218.0632466610987
409503	697		1342.6797815789469
410557	717		1420.4678067058558
411541	701		1374.188239461393
412609	714		1513.3363738124026
413651	723		1473.4264918431873
414660	684		1448.9611842783634
415744	749		1441.211409642361
416840	797		1513.0687030148692
417796	748		1537.2410962643335
418841	792		1501.0317497032229
419844	762		1539.4096304804552
420829	724		1395.3601619809633
421847	735		1438.4338579437463
422856	728		1430.3206309239613
423913	784		1521.405727675883
424922	790		1616.8049477116438
426005	862		1651.130453230464
427074	913		1805.309335811995
428087	916		1825.069654724095
429122	942		1889.2511558765545
430113	929		1874.4824187972117
431188	966		1898.2321947573218
432248	990		1857.325552195427
433261	949		1960.842357848771
434288	971		1874.5216848333366
435340	973		1833.771587230498
436331	924		1839.7199484984158
437331	886		1770.9189364335034
438400	916		1807.1888715900714
439460	919		1802.7112815862056
440542	956		1899.4244453789433
441628	1000		1951.5279354898958
442623	980		1976.98273818905
443605	939		1908.451752394787
444580	897		1849.4598594272975
445599	900		1843.410349957645
446583	882		1762.2511944791768
447677	939		1795.8900103990454
448750	998		1941.2111195520265
449814	1030		2044.8172362576006
450926	1113		2201.4213223176776
451880	1044		2204.769382803235
452921	1046		2110.2043531388044
453979	1094		2165.236303740414
455075	1177		2243.6545514883474
456154	1211		2355.461575646419
457105	1159		2318.0948896910995
458185	1209		2357.3392227534205
459255	1264		2378.7146803024225
460316	1301		2495.993082489702
461296	1272		2640.29880915815
462336	1264		2524.5954353587003
463324	1213		2430.1436233839486
464381	1234		2449.005999496556
465452	1263		2478.47867142444
466440	1239		2543.217772386968
467460	1246		2571.09278195363
468557	1292		2467.5915450758766
469570	1253		2552.5970097916434
470706	1352		2655.2290867343545
471665	1304		2646.6608213590225
472705	1296		2623.5144281192916
473699	1279		2557.2705758550437
474743	1310		2534.9764760372927
475792	1312		2641.863242565305
476889	1376		2749.9693208459066
477908	1386		2692.5281611415558
478939	1374		2618.319856313872
480007	1392		2754.539001828991
481030	1407		2824.547870270675
481972	1336		2820.23564737814
483074	1395		2734.3140913896495
484044	1349		2632.530861477717
485086	1386		2628.1735490836436
486192	1479		2828.4502270887606
487178	1450		2845.6394809812773
488218	1472		2881.5803380183643
489227	1461		2865.5876370876795
490363	1578		3064.39826948836
491357	1568		3089.2283017234877
492427	1596		3164.8496718321694
493406	1565		3143.3476950369077
494460	1582		3171.7297248193063
495432	1537		3121.659016350517
496494	1574		3153.6058712829836
497476	1541		3043.6598663943587
498485	1500		3142.5751711097546
499525	1504		3045.6762418781873
500532	1507		3008.346183931455
501561	1482		2922.6713446604554
502615	1497		2989.6892421329394
503673	1521		3017.734057237627
504738	1548		3014.9788286538096
505742	1530		3100.325242129853
506681	1463		3059.8782154269284
507725	1470		3016.0492390751606
508721	1452		2856.530151030631
509686	1379		2822.7050494014984
510760	1418		2788.9452773481607
511765	1382		2827.9567885850556
512824	1409		2845.747907690122
513897	1453		2857.6336236367933
514988	1520		2922.2105733657954
516030	1550		3002.6309297848493
517053	1547		2991.9786888037343
518155	1601		3105.294756561867
519136	1537		3015.8050855627516
520123	1515		3119.693160288385
521058	1417		3041.9583169521065
522075	1416		2858.3847486063605
523101	1432		2775.4893413243117
524140	1450		2900.05875104398
525082	1379		2880.1897129530553
526213	1469		2901.6631145178108
527301	1527		2932.6391393877566
528345	1524		3063.8199568458367
529403	1553		3107.0546338984277
530376	1504		3172.319824555423
531448	1542		3248.9386227508076
532517	1590		3154.4871388117317
533574	1600		3139.9629740910605
534664	1670		3311.833685359452
535702	1665		3295.783265348058
536742	1684		3311.317278676899
537794	1730		3418.382022402715
538820	1712		3362.5194114099722
539819	1697		3375.1859679799527
540870	1739		3437.693462432362
541868	1704		3391.184256549226
542871	1671		3315.514520384604
543971	1741		3488.122031881707
544979	1711		3519.8603733177297
545982	1690		3448.549659563927
547016	1679		3411.8989598064218
548065	1722		3499.2437740962487
549082	1716		3399.284846290946
550130	1752		3472.977646715939
551195	1789		3561.508076772094
552233	1815		3588.143203436397
553249	1783		3667.2393008316867
554321	1817		3650.399042083882
555319	1791		3550.4165682913736
556350	1792		3628.3852950928267
557352	1793		3621.954242676962
558426	1859		3699.9139938724693
559468	1892		3762.59169626981
560464	1882		3828.980204010615
561528	1924		3849.492833455559
562480	1857		3787.582274435088
563515	1885		3787.1793616625946
564552	1892		3773.9663840460125
565550	1868		3784.0634353561327
566545	1838		3681.361085675657
567615	1899		3742.482841728488
568554	1816		3744.7098198856693
569625	1837		3700.437803295674
570609	1797		3584.2247621966526
571660	1799		3607.5538810596336
572699	1827		3714.1184822104406
573732	1839		3596.998779409565
574811	1891		3632.402440560283
575860	1910		3690.4154204484075
576963	1983		3792.3584031716455
578049	2065		3980.991395093035
579136	2146		4145.237061303109
580227	2200		4242.344366706442
581319	2267		4457.8522427971475
582309	2235		4535.909012718825
583329	2244		4602.054789717309
584438	2323		4565.857635103865
585465	2337		4556.652083231602
586457	2282		4700.057609767187
